e7617c95-7e42-4cfa-9acd-5bc119261c6d;Меркурий 230 Q Текущий -- adress: 6  channel: 0;6;0;fed0877d-04e2-4da2-96e6-0403a08ee81d;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;3242af58-ba57-4d8b-83fa-284bd8f4bd9b
d262c71a-6da4-4ec0-a9c3-b9ea659c246d;Меркурий 230 T1 A+ Суточный -- adress: 0  channel: 1;0;1;a30f5530-c027-4d8a-815b-6abfb1d81028;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;bb986590-63cb-4b9f-8f4b-1b96335c5441
cad09d8d-83fe-441c-8284-848670ca9ca2;Меркурий 230 T2 A+ Текущий -- adress: 0  channel: 2;0;2;6e822182-8dca-47f6-a25b-8599423f342e;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;3242af58-ba57-4d8b-83fa-284bd8f4bd9b
c3bb9033-ffcb-4a28-91e2-6b45924b8858;Меркурий 230 T3 A+ Суточный -- adress: 0  channel: 3;0;3;3aa0b0ca-d62d-497d-a9d5-5d2f7e2d4c67;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;bb986590-63cb-4b9f-8f4b-1b96335c5441
c31297be-220b-4971-8642-6b614aa7ecee;Меркурий 230 T2 A+ Месячный -- adress: 0  channel: 2;0;2;6e822182-8dca-47f6-a25b-8599423f342e;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;3b0d3f12-f92f-476d-96d3-e1d2c1a19e2f
c06f7315-abc6-4889-97ad-201a936c8f2c;Меркурий 230 Ua Текущий -- adress: 8  channel: 1;8;1;c7a113bf-6efc-4403-89a0-655872c7e215;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;3242af58-ba57-4d8b-83fa-284bd8f4bd9b
bdcd1268-37f3-4579-a9d9-5becb2ba8aa3;Меркурий 230 T0 A+ Месячный -- adress: 0  channel: 0;0;0;0e1b1524-e9d2-4585-a6ee-4c499bdf86e9;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;3b0d3f12-f92f-476d-96d3-e1d2c1a19e2f
b4c188cb-d57f-44c0-9fe2-fc20deeb74ab;Пульсар16 Канал 1 Текущий -- adress: 1  channel: 0;1;0;5df2cb38-bfb5-4d96-9df4-815e48b52682;baf23191-8b7e-410d-8053-a654c11aaf58;3242af58-ba57-4d8b-83fa-284bd8f4bd9b
b2c4b339-0256-4f28-bc5d-92ed78e6d9f7;Меркурий 230 T4 A+ Суточный -- adress: 0  channel: 4;0;4;1d1d1038-2789-4fcf-a420-8be0ba20d99a;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;bb986590-63cb-4b9f-8f4b-1b96335c5441
aee312b0-adb1-4be9-9879-b3a3598f9b29;Меркурий 230 Ia Текущий -- adress: 7  channel: 1;7;1;41aef69c-477e-4659-afe2-f73c8ef445c4;423b33a7-2d68-47b6-b4f6-5b470aedc4f4;3242af58-ba57-4d8b-83fa-284bd8f4bd9b
